Id,Nombre,Fecha Nacimiento,Peso,id tamanio,FUD,idcolor,id largo pelo,id ubicacion,est perros,est ninios,descripcion,est ener,id estado,id foto principal,ultima mod
1,Rihanna,2014/06/30,20,3,null,8,1,10,null,3,null,5,3,1,null
2,Rodolfo,2014/01/30,20,2,null,8,1,10,null,5,null,3,3,2,null
3,Loba,2014/06/30,20,3,null,5,1,10,null,5,null,4,3,3,null
4,Piolina,2006/06/30,16,2,null,6,2,10,null,3,null,2,3,4,null
5,Coyote,2014/10/30,20,3,null,8,2,10,null,3,null,3,3,5,null
6,Alfonso,2015/06/30,20,2,null,8,1,10,null,5,null,4,3,6,null
7,Gordis,2011/06/30,25,2,null,6,1,10,null,3,null,2,2,7,null
8,Cholo,2013/06/30,26,3,null,8,1,12,null,null,null,null,3,null,null
9,Lana,2012/06/30,14,1,null,4,2,9,null,null,null,null,2,null,null
10,Choca,2011/06/30,13,2,null,6,1,9,null,null,null,null,3,null,null
11,Daniela,2013/06/30,16,2,null,5,1,9,null,null,null,null,2,11,null
12,Leoncio,2013/06/30,20,3,null,8,2,9,null,3,null,4,2,null,null
13,Lipigas,2014/06/30,13,2,null,8,2,11,null,null,null,null,2,null,null
14,Manchas,2015/06/30,13,2,null,4,1,11,null,null,null,null,2,null,null
15,Rucia,2015/03/02,15,2,null,6,1,11,null,null,null,null,2,15,null
16,Romulo,2014/12/30,24,4,null,8,2,11,null,5,null,5,3,null,null
17,Remo,2014/12/30,24,4,null,8,2,11,null,null,null,null,3,null,null
18,Viejita,2011/06/30,16,2,null,8,1,11,null,null,null,null,2,18,null
19,Zar,2015/01/30,15,2,null,8,2,11,null,5,null,4,3,19,null
20,Orejas,2015/03/02,15,2,null,8,1,11,null,4,null,3,3,null,null
21,Zapatilla,2010/06/30,25,3,null,4,1,11,null,null,null,null,2,21,null
22,Negro_1,2014/06/30,16,2,null,8,1,11,null,3,null,5,2,22,null
23,Lobita,2013/06/30,13,2,null,6,1,11,null,4,null,4,3,null,null
24,Pamela,2014/06/30,25,4,null,8,2,4,null,null,null,null,1,24,null
25,Octavio,2012/06/30,20,3,null,6,1,4,null,1,null,3,3,null,null
26,Hellen,2015/03/02,15,2,null,8,2,2,null,null,null,null,1,null,null
27,Ulises/chiquitin,2012/06/30,6,1,null,6,2,2,null,null,null,null,2,27,null
28,Nonno,2013/06/30,13,2,null,2,2,1,null,2,null,5,1,null,null
30,Pitty,2013/06/30,15,2,null,6,1,1,null,null,null,null,1,null,null
31,Tigrillo,2010/06/30,27,4,null,2,1,3,null,null,null,null,1,null,null
32,Onka,2009/06/30,20,3,null,2,1,3,null,4,null,4,1,32,null
33,Luly,2008/06/30,25,3,null,6,1,3,null,1,null,3,1,33,null
34,Negro_2,2015/06/30,15,2,null,8,1,3,null,null,null,null,1,null,null
35,Pepa,2013/06/30,13,2,null,6,1,5,null,null,null,null,2,null,null
36,Pepe,2012/06/30,16,2,null,8,1,6,null,null,null,null,2,null,null
37,Pepita,2015/06/30,10,1,null,6,1,6,null,null,null,null,2,null,null
38,Soprole,2014/06/30,10,2,null,4,2,7,null,3,null,4,3,38,null
39,Canela_1,2016/03/30,6,2,null,8,2,7,null,null,null,null,3,null,null
40,Lucas,2015/10/30,13,2,null,6,2,7,null,null,null,null,3,null,null
41,Princesa,2012/06/30,8,1,null,4,2,7,null,null,null,null,3,null,null
42,Canela_2,2012/06/30,20,2,null,6,1,8,null,null,null,null,1,null,null
43,Negrita (tuerta),2011/06/30,20,2,null,8,1,8,null,null,null,null,1,null,null
44,El Pinto,2012/06/30,20,3,null,8,1,8,null,null,null,null,1,null,null
45,Blanca,2013/06/30,16,2,null,6,1,8,null,null,null,null,1,null,null
46,Reina Madre,2012/06/30,20,3,null,8,1,8,null,null,null,null,1,null,null
